Okrę,Suma z Głosy ważne,Suma z Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera,Suma z Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke,Suma z Komitet Wyborczy Platforma Obywatelska RP,Suma z Komitet Wyborczy Polska Jest Najważniejsz,Suma z Komitet Wyborczy Polska Partia Pracy - Sierpień 8,Suma z Komitet Wyborczy Polskie Stronnictwo Ludowe,Suma z Komitet Wyborczy Prawica,Suma z Komitet Wyborczy Prawo i Sprawiedliwoś,Suma z Komitet Wyborczy Ruch Palikota,Suma z Komitet Wyborczy Sojusz Lewicy Demokratycznej,Suma z Komitet Wyborczy Wyborców Mniejszość Niemie
1,344168,,,136683,6349,2150,17985,,95277,39899,45825,
2,225524,,,102368,4226,1797,13832,,54271,28853,20177,
3,496507,,11685,250869,8096,2220,21946,,127311,47626,26754,
4,367624,,5909,158938,6929,2259,30509,,80632,44447,38001,
5,351665,,5433,140681,5887,2178,33443,,91049,37741,35253,
6,460155,,8779,116252,11924,2294,57606,1819,177543,54139,29799,
7,317929,1470,,63005,6892,1787,57882,,124084,38296,24513,
8,332656,,5538,148970,5293,1720,25575,,72302,38958,34300,
9,362263,590,7774,171750,5865,1703,9750,,90558,39204,35069,
10,261135,,,66889,4956,1801,34789,2230,103472,23010,23988,
11,339900,1388,5713,106601,5866,1924,42671,976,109205,35623,29933,
12,239369,,,85670,7055,1463,14074,2312,91220,21137,16438,
13,506580,,16765,224915,10749,2194,22574,,156800,45079,27504,
14,278846,,4963,77809,6041,1001,19387,1330,143543,13022,11750,
15,257950,,,76688,7909,1201,25833,2457,112982,17017,13863,
16,276510,,,78623,6740,2101,51766,,93307,23175,20798,
17,258535,,,67349,4575,1515,36488,2926,103798,22056,19828,
18,342304,,5549,77181,7435,1917,61136,1252,139926,23490,24418,
19,1017564,,,498599,30964,4060,17755,,277577,110589,78020,
20,449884,,11673,182123,12151,2085,32064,1674,145893,38482,23739,
21,319666,,,140641,7121,1726,18816,1967,65739,30919,24723,28014
22,298030,981,4202,75403,4487,1018,37702,1466,133320,21044,18407,
23,457321,848,8555,111871,8393,1541,47832,2285,219629,30718,25649,
24,428723,1205,6820,127224,9616,1669,47338,1279,158572,34397,40603,
25,415326,1026,,219106,8584,2009,19313,,102131,37615,25542,
26,453828,,,220245,12423,2574,25485,,113647,43264,36190,
27,311455,,,131471,6822,1913,21143,2735,98152,29338,19881,
28,224497,,4614,78500,4795,1875,19688,,61429,30049,23547,
29,281188,,,140272,6527,2385,14028,,65724,30320,21932,
30,264048,,5100,118524,8448,1712,9206,842,75504,23804,20908,
31,402715,,9079,195018,15614,3442,11237,,98737,43884,25704,
32,280320,,,120530,5856,2185,12281,2051,59453,41504,36460,
33,432904,1262,6754,109916,6982,2528,85590,1406,138039,38331,42096,
34,195660,963,,82904,3430,1340,23870,,45403,22659,15091,
35,260032,,,108522,5276,1643,30713,1740,59996,29122,23020,
36,338799,,5525,125596,5836,1833,43278,,82114,34367,40250,
37,261920,,5117,80857,4751,1242,33590,1043,71795,29236,34289,
38,259953,,,113226,5440,1801,31192,,50023,28633,29638,
39,399997,,,220354,8387,2010,11960,,76772,46750,33764,
40,215033,,,99506,3641,1516,13756,,45558,26582,24474,
41,381020,,6290,178124,7062,1815,16545,1379,82529,45111,42165,


