"Nr
okręgu",TERYT,Powiat,Uprawnieni do głosowania,Karty wydane (frekwencja),Karty ważne (głosy oddane),Głosy nieważne,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,Komitet Wyborczy Ruch Patriotyczny,Komitet Wyborczy Polska Partia Pracy,Komitet Wyborczy Liga Polskich Rodzin,Komitet Wyborczy Partia Demokratyczna,Komitet Wyborczy Socjaldemokracja Polska,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Sojusz Lewicy Demokratycznej,Komitet Wyborczy Platforma Obywatelska,Komitet Wyborczy Polska Partia Narodowa,Komitet Wyborczy Polskie Stronnictwo Ludowe,Komitet Wyborczy Centrum,Komitet Wyborczy Platforma Janusza Korwin-Mikke,Komitet Wyborczy Ogólnopolska Koalicja Obywatelska O.K.O.,Komitet Wyborczy Polska Konfederacja - Godność i Praca,Komitet Wyborczy Samoobrona RP,Komitet Wyborczy Inicjatywa RP,Komitet Wyborczy Dom Ojczysty,Komitet Wyborczy Narodowe Odrodzenie Polski,Komitet Wyborczy Stronnictwo Pracy,Komitet Wyborczy Społeczni Ratownicy,Komitet Wyborczy Mniejszość Niemiecka,Komitet Wyborczy Mniejszość Niemiecka Śląska
1,305402,bolesławieckigłogowskijaworskijeleniogórskikamiennogórskilegnickilubańskilubińskilwóweckipolkowickizgorzeleckizłotoryjskim. Jelenia Góram. Legnica,805656,296104,295798,12566,283232,2568,2102,19548,11967,9329,70146,43235,69138,914,10909,891,4694,0,0,35822,0,1371,598,0,0,0,0
2,107400,dzierżoniowskikłodzkiświdnickiwałbrzyskiząbkowicki,570291,203806,203525,7359,196166,1562,1621,14220,3356,10369,43564,27189,50871,602,12766,0,3086,504,0,25995,0,0,461,0,0,0,0
3,221001,górowskimilickioleśnickioławskistrzelińskiśredzkitrzebnickiwołowskiwrocławskim. Wrocław,955907,398938,398154,10335,387819,4875,2400,26087,16607,15447,99677,38763,125481,945,11762,1078,9388,0,525,32669,0,1520,595,0,0,0,0
4,375201,bydgoskiinowrocławskimogileńskinakielskisępoleńskiświeckitucholskiżnińskim. Bydgoszcz,803693,305212,304914,19704,285210,4274,4594,19121,4858,8872,70464,53211,59334,537,17578,1009,3979,1177,0,33363,543,773,504,1019,0,0,0
5,588803,aleksandrowskibrodnickichełmińskigolubsko-dobrzyńskigrudziądzkilipnowskiradziejowskirypińskitoruńskiwąbrzeskiwłocławskim. Grudziądzm. Toruńm. Włocławek,829017,295910,295477,9963,285514,1716,1942,22771,11068,15845,64723,33608,53221,721,20130,1029,2732,474,0,53077,478,1544,435,0,0,0,0
6,677201,janowskikraśnickilubartowskilubelskiłęczyńskiłukowskiopolskipuławskiryckiświdnickim. Lublin,958935,411306,410615,13999,396616,3991,1892,49044,6155,16695,102403,32086,67564,1838,45066,847,4982,914,0,57881,615,4163,480,0,0,0,0
7,808803,bialskibiłgorajskichełmskihrubieszowskikrasnostawskiparczewskiradzyńskitomaszowskiwłodawskizamojskim. Biała Podlaskam. Chełmm. Zamość,779534,301213,300989,10810,290179,3145,1453,35830,2922,9612,60405,24142,33091,1706,53160,0,2644,881,0,60435,0,0,753,0,0,0,0
8,1140102,gorzowskikrośnieńskimiędzyrzeckinowosolskisłubickistrzelecko-drezdeneckisulęcińskiświebodzińskizielonogórskiżagańskiżarskiwschowskim. Gorzów Wielkopolskim. Zielona Góra,796450,282225,281962,11438,270524,2134,2169,20638,5395,9506,61781,43780,65502,646,21244,0,4239,1120,0,30868,0,1502,0,0,0,0,0
9,308801,łódzki wschodnibrzezińskim. Łódź,701395,305961,305366,11315,294051,4951,3449,22474,17746,16807,72435,41511,71463,835,6275,831,6919,620,0,25382,789,0,582,0,982,0,0
10,919902,bełchatowskiopoczyńskipiotrkowskiradomszczańskirawskiskierniewickitomaszowskim. Piotrków Trybunalskim. Skierniewice,588411,231317,231051,8216,222835,0,1942,20185,3920,6290,51840,24967,34159,738,24065,1113,3240,839,418,48034,705,0,380,0,0,0,0
11,1213000,kutnowskiłaskiłęczyckiłowickipabianickipajęczańskipoddębickisieradzkiwieluńskiwieruszowskizduńskowolskizgierski,790549,301167,300744,13688,287056,4486,2387,19062,4693,7526,61376,42646,43168,1189,35061,0,0,874,0,62787,1801,0,0,0,0,0,0
12,605800,chrzanowskimyślenickioświęcimskiSuskiwadowicki,495096,208473,208322,7914,200408,1868,1575,23015,3555,6878,69903,17200,43816,491,12132,0,2915,0,0,17060,0,0,0,0,0,0,0
13,488701,krakowskimiechowskiolkuskim. Kraków,910525,431083,430565,10210,420355,3431,3889,23964,12025,14951,156754,33480,128440,685,13168,0,7910,0,443,21215,0,0,0,0,0,0,0
14,731201,gorlickilimanowskinowosądeckinowotarskitatrzańskim. Nowy Sącz,572511,258003,257673,9470,248203,2804,1458,31503,3795,3033,92246,14889,54395,612,19916,0,2496,0,0,21056,0,0,0,0,0,0,0
