"Nr
okr.",1 - Sojusz Lewicy Demokratycznej - Unia Pracy,2 - Akcja Wyborcza Solidarność Prawicy,3 -  Unia Wolności,4 - Samoobrona Rzeczpospolitej Polskiej,5 - Prawo i Sprawiedliwość,6 - Polskie Stronnictwo Ludowe,7 - Platforma Obywatelska,8 - Alternatywa Ruch Społeczny,9 - Polska Wspólnota Narodowa,10 - Liga Polskich Rodzin,11 - Mniejszość Niemiecka,13 - Polska Unia Gospodarcza,14 - Polska Partia Socjalistyczna,15 - Niemiecka Mniejszość Górnego Śląska,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów
1,176301,13374,10489,30920,23071,19071,34467,1327,,19335,,,,,328355
2,124238,9996,7705,25723,10775,12921,27681,1294,,15272,,,,,235605
3,163974,21831,20953,39823,42974,19841,74658,1864,,32913,,,,,418831
4,173486,17114,7802,32953,25419,27028,30904,917,,28103,,671,,,344397
5,154427,13804,8624,39277,22764,28897,31256,780,,24823,,759,666,,326077
6,148814,19547,9458,57796,40887,74998,36843,1709,,43039,,,1179,,434270
7,117377,13069,5072,53855,17745,72591,20048,1354,,38374,,,,,339485
8,160790,18695,10492,29957,17672,23382,30622,1172,,16978,,1434,799,,311993
9,174923,19110,10783,22423,32765,7870,40567,780,328,24609,,,648,,334806
10,96957,11722,3980,38832,15429,36400,20342,951,268,18283,,,1041,,244205
11,139616,13110,5413,60404,19617,47176,26667,1434,,25532,,,1130,,340099
12,76510,17723,6166,18198,21435,20195,30582,1244,,25062,,,,,217115
13,146042,19057,25320,29864,69543,22168,78733,1075,,41919,,,,,433721
14,57635,31650,5051,19728,28867,26840,47299,1855,,28276,,,,,247201
15,57821,17800,5019,22733,22103,39362,31154,738,,29444,,,,,226174
16,107132,13694,5135,33900,19442,44312,20015,1052,,14736,,,553,,259971
17,81613,12995,3776,32132,18986,42956,25259,1144,,18292,,237,,,237390
18,95939,15773,5108,45277,26885,73257,24258,1414,,30858,,,379,,319148
19,270062,29497,48296,22398,158426,11868,138561,1410,334,52331,,,1211,,734394
20,90215,14376,9235,24217,53154,26251,47084,1018,282,27502,,,,,293334
21,120778,11387,9596,34236,16576,15802,37203,1273,1161,20574,42340,,,,310926
22,94628,30805,5243,36719,26294,47582,21010,1438,,35577,,,,,299296
23,132686,42098,5805,43122,35782,58623,37683,2461,,67123,,,,,425383
24,150759,19450,7438,47875,45762,43588,33289,845,,46879,,1102,489,,397476
25,125093,17752,10239,23085,57710,12263,93408,836,,21361,,,,,361747
26,140483,16435,10354,35489,35833,19117,95735,1223,,30314,,,,,384983
27,106225,28304,10524,21940,27364,15666,38260,1131,,27266,,655,,,277335
28,101772,15138,5139,22963,17081,15446,25330,899,,11854,,,792,,216414
29,113806,21630,13672,15613,25146,7709,34923,1395,,14040,,,448,8024,256406
30,93973,17676,9898,16616,22481,9718,42216,1924,,13971,4890,617,,,233980
31,160346,47949,16536,19962,44730,7232,58785,3720,,,,,,,359260
32,174467,11837,7570,19133,18625,10796,23445,1682,,11111,,,728,,279394
33,194585,15885,7784,55284,29066,65039,30909,4121,,26940,,,1992,,431605
34,93743,5328,7559,24889,12459,17731,20261,687,,13102,,,,,195759
35,108097,9095,7960,22046,18015,15887,26650,698,,19614,,,836,,228898
36,165096,13089,6722,44565,14159,41882,35452,1261,,26132,,625,,,348983
37,124226,13301,4658,35556,12359,29278,22938,749,271,14630,,444,,,258410
38,124244,11686,6885,30163,11869,27118,26901,1105,,17057,,,,,257028
39,134534,13684,15956,16326,41162,9455,65198,616,,23189,,645,,,320765
40,97049,8350,6187,46863,7685,8447,20886,573,,9161,,,568,,205769
41,171685,14391,14472,34769,28091,12725,42619,1097,,19572,,,,,339421
Suma całkowita,5342147,729207,404074,1327624,1236208,1168488,1650101,54266,2644,1025148,47230,7189,13459,8024,13015809
