Okręg,Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,Komitet Wyborczy Liga Polskich Rodzin,Komitet Wyborczy Partii Kobiet,Komitet Wyborczy Platforma Obywatelska RP,Komitet Wyborczy Polska Partia Pracy,Komitet Wyborczy Polskiego Stronnictwa Ludowego,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Samoobrona Patriotyczna,Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka"""
1,404559,72378,4536,,173820,3921,26710,117165,,6029,
2,271278,42679,2827,,125854,3394,21063,71143,,4318,
3,556133,57795,6649,,295880,4695,26933,157969,,6212,
4,418902,79619,4482,,184705,5030,36476,101436,,7154,
5,392729,72028,3458,,154224,4186,44602,105056,,9175,
6,501704,52680,9602,4971,147852,3926,62983,208323,2531,8836,
7,351500,36917,7371,,84691,3922,68114,138882,,11603,
8,394215,69523,5664,,185534,5219,33058,88563,,6654,
9,422754,75125,4780,7259,193124,3205,15395,117716,,6150,
10,291982,36055,3685,,81532,3246,39889,120944,,6631,
11,382387,53639,4683,5579,116485,3536,53730,134384,,10351,
12,267676,28632,4064,,97517,2616,24114,108148,,2585,
13,561404,54284,6872,4832,265821,9349,23493,193270,,3483,
14,297902,19057,3931,,85668,1997,30636,152960,,3653,
15,281323,20609,4399,,90638,2453,31599,128391,,3234,
16,306981,34528,3048,,90690,2711,60837,109232,,5935,
17,284839,25451,4253,,80435,2642,42789,121685,,7584,
18,368142,30790,6555,,91401,2844,69805,158061,,8686,
19,1145983,145072,14264,13992,618942,5518,26678,316977,,4540,
20,460582,36532,6472,,208034,3744,38024,164120,,3656,
21,368540,41250,4722,,171683,3341,24392,84295,,6395,32462
22,330228,30399,4933,,96748,3476,42786,145913,,5973,
23,491363,43121,9062,,136670,4355,54843,237977,,5335,
24,461180,67891,6634,4142,149229,2835,42158,178988,,9303,
25,472504,50019,6351,,258073,3804,20676,127959,,5622,
26,503636,62694,6886,,257010,4697,30798,133711,,7840,
27,344763,44148,3942,,143989,4637,22820,122081,,3146,
28,255728,37741,3968,,102606,3479,25046,78976,,3912,
29,329350,43679,3211,,163655,3315,15244,97540,,2706,
30,302914,36309,3045,,134945,3905,12071,109748,,2891,
31,465482,57084,4530,,231517,7524,15398,146704,,2725,
32,325737,70378,3777,,145755,5068,16381,81360,,3018,
33,482571,66646,4721,4346,134849,4545,71034,188556,,7874,
34,230592,35584,3220,,99946,2639,26326,55948,,6929,
35,299231,42090,3898,,135407,2740,37744,72259,,5093,
36,386235,65221,4847,,149053,4653,51750,102266,,8445,
37,297645,51896,4107,,101722,4704,41153,87030,,7033,
38,298569,58960,2889,,125036,2756,37706,64870,,6352,
39,447616,56547,4439,,262322,3054,24383,94187,,2684,
40,246514,43331,2560,,113096,2764,21162,53161,,10440,
41,438829,74600,5834,,214852,4031,26839,105523,,7150,
