,"Nr
okr.","Nr
listy","Nr
poz.",Kandydat,Głosy,"%
w okr.",Mandat
0,1,1,1,SZMAJDZIŃSKI Jerzy Andrzej,72719,0.22146457340378553,T
1,1,1,2,ZBRZYZNY Ryszard,19713,0.06003563216640526,T
2,1,1,3,KOWALSKA Bronisława,17231,0.052476740113596564,T
3,1,1,4,GLINIECKI Lubomir Mariusz,5215,0.015882200666961062,-
4,1,1,5,RAK Władysław Jan,7852,0.023913142787531788,T
5,1,1,6,MALCZUK Grażyna Elżbieta,3325,0.01012623532457249,-
6,1,1,7,KAMIŃSKI Paweł Ryszard,3672,0.011183018379497799,-
7,1,1,8,PEIKERT Bronisław Kazimierz,2273,0.006922385832406999,-
8,1,1,9,JANKOWSKI Jerzy,4108,0.012510849537847757,-
9,1,1,10,MARASZEK Ryszard,6743,0.020535700689802195,T
10,1,1,11,GRALA Leszek,2680,0.008161897945820834,-
11,1,1,12,TURKIEWICZ Michał,6130,0.018668818808911088,T
12,1,1,13,CICHOŃ Joanna Beata,1806,0.0055001446605046364,-
13,1,1,14,ZAWADZKA Elżbieta Krystyna,2340,0.0071264332810525195,-
14,1,1,15,ŚWIĄTEK Krzysztof Józef,2956,0.009002451614868054,-
15,1,1,16,PONIŹNIK Olgierd,5247,0.01597965616482161,T
16,1,1,17,ŁOTAREWICZ Danuta Stanisława,1083,0.003298259505717897,-
17,1,1,18,BURNIAK Józef,3489,0.010625694751107796,-
18,1,1,19,OSTROWSKA Krystyna,1082,0.0032952140214097545,-
19,1,1,20,TOMASZEWSKI Bronisław,2201,0.0067031109622207674,-
20,1,1,21,BUKAŁA Izabela Ewa,928,0.002826209437955871,-
21,1,1,22,ZIELIŃSKI Marek,2200,0.006700065477912625,-
22,1,1,23,BIELAŃCZYK Katarzyna Tatiana,382,0.001163375005710283,-
23,1,1,24,MOLSKI Jerzy Wojciech,926,0.0028201184693395867,-
24,1,2,1,BAŁAZY Krzysztof,1338,0.0040748580042941325,-
25,1,2,2,SWAKOŃ Jacek,3336,0.010159735651962053,-
26,1,2,3,LINK Leszek Stanisław,1336,0.004068767035677849,-
27,1,2,4,NALICHOWSKI Jerzy Kazimierz,1011,0.0030789846355316654,-
28,1,2,5,JANICKI Alfred,718,0.0021866577332460293,-
29,1,2,6,RŻEWSKI Filip Marcin,123,0.00037459456990147856,-
30,1,2,7,MACZUGOWSKI Janusz Marian,537,0.001635425073472309,-
31,1,2,8,FILIPEK Jan,348,0.0010598285392334516,-
32,1,2,9,MODELSKI Hilary Stefan,523,0.0015927882931583196,-
33,1,2,10,GŁUSZCZYSZYN Adrian,180,0.0005481871754655784,-
34,1,2,11,BIELECKI Franciszek,486,0.0014801053737570618,-
35,1,2,12,GAŁĘSKI Maciej Tomisław,92,0.0002801845563490734,-
36,1,2,13,ZBOROWSKI Jacek,400,0.001218193723256841,-
37,1,2,14,FENC Ryszard,543,0.0016536979793211615,-
38,1,2,15,ŚNIATECKI Włodzimierz,252,0.0007674620456518098,-
39,1,2,16,ANDRZEJEWSKI Bronisław,665,0.0020252470649144982,-
40,1,2,17,HIR Zbigniew Józef,54,0.00016445615263967352,-
41,1,2,18,KAHL Sławomir Wacław,1432,0.00436113352925949,-
42,1,3,1,ZAWIŁA Marcin Edward,2668,0.008125352134123128,-
43,1,3,2,ROJEK Piotr Romuald,1310,0.003989584443666154,-
44,1,3,3,RYBKA Zbigniew Piotr,1363,0.004150995111997686,-
45,1,3,4,KRÓL Józef,1225,0.0037307182774740755,-
46,1,3,5,BORYS Piotr,979,0.002981529137671118,-
47,1,3,6,BUSZEWICZ Bożena Jadwiga,353,0.0010750559607741622,-
48,1,3,7,WABIK Wiesław Władysław,143,0.00043550425606432065,-
49,1,3,8,MICHALSKI Jan,276,0.0008405536690472203,-
50,1,3,9,KAMECKA Alicja Agnieszka,259,0.0007887804358088045,-
51,1,3,10,DANKO Olga,154,0.00046900458345388376,-
52,1,3,11,URBANOWICZ-PRZYSIĘŻNA Elżbieta,238,0.0007248252653378203,-
53,1,3,12,PIOTROWSKI Kazimierz,214,0.0006517336419424099,-
54,1,3,13,BAGIŃSKA Joanna,166,0.000505550395151589,-
55,1,3,14,MALKIEWICZ Maria Otylia,164,0.0004994594265353047,-
56,1,3,15,DZIATKIEWICZ Czesław Jerzy,76,0.00023145680741879976,-
57,1,3,16,KUZIEMKA Tomasz Piotr,66,0.00020100196433737874,-
58,1,3,17,HORODECKI Stanisław Piotr,211,0.0006425971890179836,-
59,1,3,18,ZIELIŃSKI Artur Waldemar,624,0.0019003822082806717,-
60,1,4,1,BONDA Ryszard Mieczysław,8876,0.0270317187190693,T
61,1,4,2,OKRZEŚ Teresa Małgorzata,3140,0.009562820727566201,-
62,1,4,3,PANKIEWICZ Józef,2571,0.007829940156233344,-
63,1,4,4,PRZYTYK Wojciech Franciszek,2427,0.0073913904158608825,-
64,1,4,5,WRÓBEL Władysław Kazimierz,2111,0.006429017374487978,-
65,1,4,6,OLEKSÓW Kazimierz Jan,1018,0.00310030302568866,-
66,1,4,7,LITERACKA Ewa Elżbieta,2713,0.008262398927989523,-
