term,clubs,committees,groups,interpelations,mps,prints,proceedings,processes,transcripts,videos,votings,written_questions
1,0,0,0,0,0,0,False,0,False,False,0,0
2,0,0,0,0,0,0,False,0,False,False,0,0
3,0,47,0,0,482,0,False,1626,False,False,271,0
4,0,40,0,0,489,0,False,2019,False,False,269,0
5,0,38,77,0,478,0,False,1178,False,False,111,0
6,0,38,83,0,520,0,False,2226,False,False,197,0
7,8,36,97,50,517,4356,False,2084,False,False,168,50
8,9,35,85,50,505,4362,87,2096,1,50,179,50
9,10,32,82,50,475,4142,81,1772,1,50,177,50
10,9,37,70,50,494,928,39,556,1,50,58,50
